voucher_id,transaction_date,transaction_type,department_code,partner_code,evidence_type,evidence_no,description,debit_account_1,debit_amount_1,debit_account_2,debit_amount_2,credit_account_1,credit_amount_1,credit_account_2,credit_amount_2,supply_amount,vat_amount,total_amount,remarks,error_count,error_types,processing_status,column,error_type_detail,detail
JV2026081016,2026-08-29,원재료 매입,D002,V002,전자세금계산서,TAX-202608-0016,합성고무 원재료 구매,1210,5020000,1180.0,501000,2110,5511000,,0,5010000,501000,5511000,포트폴리오용 합성 거래,1,차변·대변 불일치,검토 필요,debit_amount_1,차변·대변 불일치,"차변 5,521,000원 / 대변 5,511,000원"
JV2026081063,2026-08-29,산업용 소모품 구매,D005,V003,법인카드,,생산 작업용 장갑 구매,5130,270000,1180.0,27000,2140,297000,,0,270000,27000,297000,포트폴리오용 합성 거래,1,필수값 누락,검토 필요,evidence_no,필수값 누락,evidence_no: 값 누락
JV2026081069,2026-08-06,원재료 매입,D002,V002,전자세금계산서,CARD-202608-0001,합성고무 원재료 구매,1210,4640000,1180.0,464000,2110,5104000,,0,4640000,464000,5104000,포트폴리오용 합성 거래,1,증빙번호 중복,검토 필요,evidence_no,증빙번호 중복,CARD-202608-0001: 중복 증빙
JV2026081077,2026-08-18,제품 판매,D006,V999,전자세금계산서,TAX-202608-0077,방진부품 외상 판매,1130,9515000,,0,4110,8650000,2180.0,865000,8650000,865000,9515000,포트폴리오용 합성 거래,1,존재하지 않는 거래처,검토 필요,partner_code,존재하지 않는 거래처,V999: 거래처 기준표에 없음
JV2026081083,2026-08-28,원재료 매입,D002,V002,전자세금계산서,TAX-202608-0083,고무 원재료 외상 매입,1210,6060000,1180.0,605000,2110,6655000,,0,6050000,605000,6655000,포트폴리오용 합성 거래,1,차변·대변 불일치,검토 필요,debit_amount_1,차변·대변 불일치,"차변 6,665,000원 / 대변 6,655,000원"
JV2026081095,2026-09-05,원재료 매입,D002,V001,전자세금계산서,TAX-202608-0095,합성고무 원재료 구매,1210,2260000,1180.0,226000,2110,2486000,,0,2260000,226000,2486000,포트폴리오용 합성 거래,1,회계기간 이탈,검토 필요,transaction_date,회계기간 이탈,2026-09-05: 회계기간 아님
JV2026081112,2026-08-12,원재료 매입,D002,V001,전자세금계산서,TAX-202608-0112,고무 원재료 외상 매입,1210,7060000,1180.0,706000,2110,7766000,,0,7060000,706000,7756000,포트폴리오용 합성 거래,1,전표 합계 불일치,검토 필요,total_amount,전표 합계 불일치,"입력 7,756,000원 / 분개 7,766,000원"
JV2026081117,2026-08-29,원재료 매입,D002,V001,전자세금계산서,TAX-202608-0117,고무 원재료 외상 매입,1210,7750000,1180.0,775000,2110,8525000,,0,7750000,775000,8515000,포트폴리오용 합성 거래,1,전표 합계 불일치,검토 필요,total_amount,전표 합계 불일치,"입력 8,515,000원 / 분개 8,525,000원"
JV2026081125,2026-08-20,제품 판매,D006,V999,전자세금계산서,TAX-202608-0125,고무호스 제품 외상 판매,1130,12650000,,0,4110,11500000,2180.0,1150000,11500000,1150000,12650000,포트폴리오용 합성 거래,1,존재하지 않는 거래처,검토 필요,partner_code,존재하지 않는 거래처,V999: 거래처 기준표에 없음
JV2026081137,2026-09-05,경영서비스 수수료,D001,V008,전자세금계산서,TAX-202608-0137,업무 시스템 자문료,5160,1570000,1180.0,157000,2120,1727000,,0,1570000,157000,1727000,포트폴리오용 합성 거래,1,회계기간 이탈,검토 필요,transaction_date,회계기간 이탈,2026-09-05: 회계기간 아님
JV2026081144,2026-09-05,원재료 매입,D002,V002,전자세금계산서,TAX-202608-0144,고무 원재료 외상 매입,1210,2480000,1180.0,248000,2110,2728000,,0,2480000,248000,2728000,포트폴리오용 합성 거래,1,회계기간 이탈,검토 필요,transaction_date,회계기간 이탈,2026-09-05: 회계기간 아님
JV2026081152,2026-09-05,원재료 매입,D002,V001,전자세금계산서,TAX-202608-0152,자동차부품용 소재 매입,1210,2440000,1180.0,244000,2110,2684000,,0,2440000,244000,2684000,포트폴리오용 합성 거래,1,회계기간 이탈,검토 필요,transaction_date,회계기간 이탈,2026-09-05: 회계기간 아님
JV2026081157,2026-08-15,산업용 소모품 구매,D003,V004,법인카드,TAX-202608-0157,검사용 소모품 구매,5130,580000,1180.0,58000,2110,638000,,0,580000,68000,638000,포트폴리오용 합성 거래,1,부가세 계산 오류,검토 필요,vat_amount,부가세 계산 오류,"입력 68,000원 / 예상 58,000원"
JV2026081168,2026-08-01,제품 판매,D006,C002,전자세금계산서,,고무호스 제품 외상 판매,1130,15147000,,0,4110,13770000,2180.0,1377000,13770000,1377000,15147000,포트폴리오용 합성 거래,1,필수값 누락,검토 필요,evidence_no,필수값 누락,evidence_no: 값 누락
JV2026081177,2026-08-05,제품 판매,D006,C004,전자세금계산서,TAX-202608-0177,고무호스 제품 외상 판매,9999,9295000,,0,4110,8450000,2180.0,845000,8450000,845000,9295000,포트폴리오용 합성 거래,1,존재하지 않는 계정과목,검토 필요,debit_account_1,존재하지 않는 계정과목,9999: 계정과목 기준표에 없음
