voucher_id,transaction_date,department_code,partner_code,evidence_type,evidence_no,description,debit_account_1,debit_amount_1,debit_account_2,debit_amount_2,credit_account_1,credit_amount_1,credit_account_2,credit_amount_2,supply_amount,vat_amount,total_amount,remarks,error_count,error_types,processing_status
JV202608101,2026-08-01,D002,V001,전자세금계산서,NORMAL-TAX-202608-001,고무 원재료 외상 매입,1210,5000000,1180.0,500000,2110,5500000,,0,5000000,500000,5500000,8월 원재료 구매,0,없음,입력 가능
JV202608102,2026-08-02,D003,V003,법인카드,NORMAL-CARD-202608-001,생산 작업용 장갑 구매,5130,200000,1180.0,20000,2140,220000,,0,200000,20000,220000,생산1팀 사용,0,없음,입력 가능
JV202608103,2026-08-03,D007,V004,전자세금계산서,NORMAL-TAX-202608-002,제품 포장재 외상 구매,5130,800000,1180.0,80000,2110,880000,,0,800000,80000,880000,출하용 포장재,0,없음,입력 가능
JV202608104,2026-08-05,D007,V005,전자세금계산서,NORMAL-TAX-202608-003,제품 납품 운송비,5140,600000,1180.0,60000,2120,660000,,0,600000,60000,660000,8월 1주차 운송비,0,없음,입력 가능
JV202608105,2026-08-08,D003,V006,전자세금계산서,NORMAL-TAX-202608-004,공장 전기요금,5150,1500000,1180.0,150000,2120,1650000,,0,1500000,150000,1650000,생산공장 전력 사용,0,없음,입력 가능
JV202608106,2026-08-10,D002,V007,전자세금계산서,NORMAL-TAX-202608-005,생산설비 외상 구매,1510,20000000,1180.0,2000000,2120,22000000,,0,20000000,2000000,22000000,검사설비 구매,0,없음,입력 가능
JV202608107,2026-08-12,D001,V008,전자세금계산서,NORMAL-TAX-202608-006,회계 자문 수수료,5160,1000000,1180.0,100000,2120,1100000,,0,1000000,100000,1100000,8월 회계 자문,0,없음,입력 가능
JV202608108,2026-08-15,D006,C001,전자세금계산서,NORMAL-SALE-202608-001,자동차용 고무부품 외상 판매,1130,13200000,,0,4110,12000000,2180.0,1200000,12000000,1200000,13200000,8월 1차 제품 납품,0,없음,입력 가능
JV202608109,2026-08-18,D006,C002,전자세금계산서,NORMAL-SALE-202608-002,자동차용 씰링부품 외상 판매,1130,8800000,,0,4110,8000000,2180.0,800000,8000000,800000,8800000,8월 2차 제품 납품,0,없음,입력 가능
JV202608110,2026-08-20,D001,V001,계좌이체,NORMAL-BANK-202608-001,원재료 외상매입금 지급,2110,5500000,,0,1110,5500000,,0,0,0,5500000,JV202608001 대금 지급,0,없음,입력 가능
JV202608001,2026-08-01,D002,V001,전자세금계산서,TAX-202608-001,고무 원재료 외상 매입,9999,5000000,1180.0,500000,2110,5500000,,0,5000000,500000,5500000,8월 원재료 구매,1,존재하지 않는 계정과목,검토 필요
JV202608002,2026-08-02,D003,V999,법인카드,CARD-202608-001,생산 작업용 장갑 구매,5130,200000,1180.0,20000,2140,220000,,0,200000,20000,220000,생산1팀 사용,1,존재하지 않는 거래처,검토 필요
JV202608003,2026-08-03,D999,V004,전자세금계산서,TAX-202608-002,제품 포장재 외상 구매,5130,800000,1180.0,80000,2110,880000,,0,800000,80000,880000,출하용 포장재,1,존재하지 않는 부서,검토 필요
JV202608004,2026-08-05,D007,V005,전자세금계산서,TAX-202608-003,제품 납품 운송비,5140,610000,1180.0,60000,2120,660000,,0,600000,60000,660000,8월 1주차 운송비,1,차변·대변 불일치,검토 필요
JV202608005,2026-08-08,D003,V006,전자세금계산서,TAX-202608-004,공장 전기요금,5150,1500000,1180.0,150000,2120,1650000,,0,1500000,100000,1650000,생산공장 전력 사용,1,부가세 계산 오류,검토 필요
JV202608006,2026-08-10,D002,V007,전자세금계산서,,생산설비 외상 구매,1510,20000000,1180.0,2000000,2120,22000000,,0,20000000,2000000,22000000,검사설비 구매,1,필수값 누락,검토 필요
JV202608007,2026-08-12,D001,V008,전자세금계산서,TAX-202608-004,회계 자문 수수료,5160,1000000,1180.0,100000,2120,1100000,,0,1000000,100000,1100000,8월 회계 자문,1,증빙번호 중복,검토 필요
JV202608008,2026-09-05,D006,C001,전자세금계산서,SALE-202608-001,자동차용 고무부품 외상 판매,1130,13200000,,0,4110,12000000,2180.0,1200000,12000000,1200000,13200000,8월 1차 제품 납품,1,회계기간 이탈,검토 필요
JV202608009,2026-08-18,D006,C002,전자세금계산서,SALE-202608-002,,1130,8800000,,0,4110,8000000,2180.0,800000,8000000,800000,8800000,8월 2차 제품 납품,1,필수값 누락,검토 필요
JV202608010,2026-08-20,D001,V001,계좌이체,BANK-202608-001,원재료 외상매입금 지급,2110,5500000,,0,1110,5500000,,0,0,0,5400000,JV202608001 대금 지급,1,전표 합계 불일치,검토 필요
