voucher_id,line_no,transaction_date,department_code,partner_code,debit_credit_type,account_code,account_name,amount,evidence_type,evidence_no,description,remarks
JV202608101,1,2026-08-01,D002,V001,차변,1210,원재료,5000000,전자세금계산서,NORMAL-TAX-202608-001,고무 원재료 외상 매입,8월 원재료 구매
JV202608101,2,2026-08-01,D002,V001,차변,1180,부가세대급금,500000,전자세금계산서,NORMAL-TAX-202608-001,고무 원재료 외상 매입,8월 원재료 구매
JV202608101,3,2026-08-01,D002,V001,대변,2110,외상매입금,5500000,전자세금계산서,NORMAL-TAX-202608-001,고무 원재료 외상 매입,8월 원재료 구매
JV202608102,1,2026-08-02,D003,V003,차변,5130,소모품비,200000,법인카드,NORMAL-CARD-202608-001,생산 작업용 장갑 구매,생산1팀 사용
JV202608102,2,2026-08-02,D003,V003,차변,1180,부가세대급금,20000,법인카드,NORMAL-CARD-202608-001,생산 작업용 장갑 구매,생산1팀 사용
JV202608102,3,2026-08-02,D003,V003,대변,2140,카드미지급금,220000,법인카드,NORMAL-CARD-202608-001,생산 작업용 장갑 구매,생산1팀 사용
JV202608103,1,2026-08-03,D007,V004,차변,5130,소모품비,800000,전자세금계산서,NORMAL-TAX-202608-002,제품 포장재 외상 구매,출하용 포장재
JV202608103,2,2026-08-03,D007,V004,차변,1180,부가세대급금,80000,전자세금계산서,NORMAL-TAX-202608-002,제품 포장재 외상 구매,출하용 포장재
JV202608103,3,2026-08-03,D007,V004,대변,2110,외상매입금,880000,전자세금계산서,NORMAL-TAX-202608-002,제품 포장재 외상 구매,출하용 포장재
JV202608104,1,2026-08-05,D007,V005,차변,5140,운반비,600000,전자세금계산서,NORMAL-TAX-202608-003,제품 납품 운송비,8월 1주차 운송비
JV202608104,2,2026-08-05,D007,V005,차변,1180,부가세대급금,60000,전자세금계산서,NORMAL-TAX-202608-003,제품 납품 운송비,8월 1주차 운송비
JV202608104,3,2026-08-05,D007,V005,대변,2120,미지급금,660000,전자세금계산서,NORMAL-TAX-202608-003,제품 납품 운송비,8월 1주차 운송비
JV202608105,1,2026-08-08,D003,V006,차변,5150,전력비,1500000,전자세금계산서,NORMAL-TAX-202608-004,공장 전기요금,생산공장 전력 사용
JV202608105,2,2026-08-08,D003,V006,차변,1180,부가세대급금,150000,전자세금계산서,NORMAL-TAX-202608-004,공장 전기요금,생산공장 전력 사용
JV202608105,3,2026-08-08,D003,V006,대변,2120,미지급금,1650000,전자세금계산서,NORMAL-TAX-202608-004,공장 전기요금,생산공장 전력 사용
JV202608106,1,2026-08-10,D002,V007,차변,1510,기계장치,20000000,전자세금계산서,NORMAL-TAX-202608-005,생산설비 외상 구매,검사설비 구매
JV202608106,2,2026-08-10,D002,V007,차변,1180,부가세대급금,2000000,전자세금계산서,NORMAL-TAX-202608-005,생산설비 외상 구매,검사설비 구매
JV202608106,3,2026-08-10,D002,V007,대변,2120,미지급금,22000000,전자세금계산서,NORMAL-TAX-202608-005,생산설비 외상 구매,검사설비 구매
JV202608107,1,2026-08-12,D001,V008,차변,5160,지급수수료,1000000,전자세금계산서,NORMAL-TAX-202608-006,회계 자문 수수료,8월 회계 자문
JV202608107,2,2026-08-12,D001,V008,차변,1180,부가세대급금,100000,전자세금계산서,NORMAL-TAX-202608-006,회계 자문 수수료,8월 회계 자문
JV202608107,3,2026-08-12,D001,V008,대변,2120,미지급금,1100000,전자세금계산서,NORMAL-TAX-202608-006,회계 자문 수수료,8월 회계 자문
JV202608108,1,2026-08-15,D006,C001,차변,1130,외상매출금,13200000,전자세금계산서,NORMAL-SALE-202608-001,자동차용 고무부품 외상 판매,8월 1차 제품 납품
JV202608108,2,2026-08-15,D006,C001,대변,4110,제품매출,12000000,전자세금계산서,NORMAL-SALE-202608-001,자동차용 고무부품 외상 판매,8월 1차 제품 납품
JV202608108,3,2026-08-15,D006,C001,대변,2180,부가세예수금,1200000,전자세금계산서,NORMAL-SALE-202608-001,자동차용 고무부품 외상 판매,8월 1차 제품 납품
JV202608109,1,2026-08-18,D006,C002,차변,1130,외상매출금,8800000,전자세금계산서,NORMAL-SALE-202608-002,자동차용 씰링부품 외상 판매,8월 2차 제품 납품
JV202608109,2,2026-08-18,D006,C002,대변,4110,제품매출,8000000,전자세금계산서,NORMAL-SALE-202608-002,자동차용 씰링부품 외상 판매,8월 2차 제품 납품
JV202608109,3,2026-08-18,D006,C002,대변,2180,부가세예수금,800000,전자세금계산서,NORMAL-SALE-202608-002,자동차용 씰링부품 외상 판매,8월 2차 제품 납품
JV202608110,1,2026-08-20,D001,V001,차변,2110,외상매입금,5500000,계좌이체,NORMAL-BANK-202608-001,원재료 외상매입금 지급,JV202608001 대금 지급
JV202608110,2,2026-08-20,D001,V001,대변,1110,보통예금,5500000,계좌이체,NORMAL-BANK-202608-001,원재료 외상매입금 지급,JV202608001 대금 지급
