voucher_id,transaction_date,transaction_type,department,partner,evidence_type,evidence_no,description,total_amount,error_column,error_type,detail
JV2026081168,2026-08-01,제품 판매,영업팀,대성자동차부품,전자세금계산서,,고무호스 제품 외상 판매,15147000,evidence_no,필수값 누락,evidence_no: 값 누락
JV2026081349,2026-08-01,제품 판매,영업팀,한울오토테크,전자세금계산서,TAX-202608-0349,,9570000,description,필수값 누락,description: 값 누락
JV2026081409,2026-08-02,공장 전기요금,생산2팀,한결공장전력,전자세금계산서,TAX-202608-0409,,3597000,description,필수값 누락,description: 값 누락
JV2026081315,2026-08-04,공장 전기요금,생산2팀,한결공장전력,전자세금계산서,TAX-202608-0315,생산1공장 전기요금,4928000,vat_amount,부가세 계산 오류,"입력 458,000원 / 예상 448,000원"
JV2026081441,2026-08-04,원재료 매입,D999,해솔고무소재,전자세금계산서,TAX-202608-0441,합성고무 원재료 구매,1100000,department_code,존재하지 않는 부서,D999: 부서 기준표에 없음
JV2026081177,2026-08-05,제품 판매,영업팀,한울오토테크,전자세금계산서,TAX-202608-0177,고무호스 제품 외상 판매,9295000,debit_account_1,존재하지 않는 계정과목,9999: 계정과목 기준표에 없음
JV2026081069,2026-08-06,원재료 매입,구매팀,다온화학소재,전자세금계산서,CARD-202608-0001,합성고무 원재료 구매,5104000,evidence_no,증빙번호 중복,CARD-202608-0001: 중복 증빙
JV2026081207,2026-08-06,공장 전기요금,생산1팀,한결공장전력,전자세금계산서,TAX-202608-0207,공장 설비 전력 사용료,2387000,debit_account_1,존재하지 않는 계정과목,9999: 계정과목 기준표에 없음
JV2026081251,2026-08-06,운송비,물류팀,바른산업물류,전자세금계산서,TAX-202608-0251,긴급 납품 운송비,1639000,debit_amount_1,차변·대변 불일치,"차변 1,649,000원 / 대변 1,639,000원"
JV2026081286,2026-08-06,원재료 매입,구매팀,다온화학소재,전자세금계산서,TAX-202608-0286,고무 원재료 외상 매입,1463000,debit_amount_1,차변·대변 불일치,"차변 1,473,000원 / 대변 1,463,000원"
JV2026081209,2026-08-08,제품 판매,영업팀,V999,전자세금계산서,TAX-202608-0209,방진부품 외상 판매,14839000,partner_code,존재하지 않는 거래처,V999: 거래처 기준표에 없음
JV2026081289,2026-08-08,제품 판매,영업팀,대성자동차부품,전자세금계산서,,방진부품 외상 판매,9999000,evidence_no,필수값 누락,evidence_no: 값 누락
JV2026081180,2026-08-11,운송비,물류팀,바른산업물류,전자세금계산서,TAX-202608-0180,긴급 납품 운송비,1507000,debit_account_1,존재하지 않는 계정과목,9999: 계정과목 기준표에 없음
JV2026081112,2026-08-12,원재료 매입,구매팀,해솔고무소재,전자세금계산서,TAX-202608-0112,고무 원재료 외상 매입,7756000,total_amount,전표 합계 불일치,"입력 7,756,000원 / 분개 7,766,000원"
